

gen best mean std
0 21.485212 -3.906974 5.601659
1 16.658417 -2.644973 5.876294
2 16.877936 -2.114791 6.049605
3 16.877936 0.013348 7.660412
4 19.17742 0.512331 7.512698
5 19.808595 1.272712 7.46278
6 23.068711 0.477134 7.621113
7 23.159668 0.749126 7.566066
8 29.936748 2.039398 9.082334
9 32.329082 1.710691 9.208665
10 32.329082 2.589469 9.524125
11 32.329082 2.538255 9.783497
12 23.159668 1.376125 8.120586
13 16.464104 2.163316 6.802156
14 19.200805 3.219868 7.587591
15 19.200805 3.476413 7.669685
16 19.200805 3.949318 7.556138
17 17.756689 4.008302 7.107625
18 17.756689 5.561874 6.907382
19 31.040503 7.650572 7.442538
