

gen best mean std
0 19.872029 -3.553593 5.913847
1 24.195125 -2.244773 7.352107
2 27.537241 0.412706 8.654821
3 27.537241 1.686428 8.7706
4 27.537241 4.78597 9.802192
5 27.537241 3.443382 10.024421
6 27.537241 4.001215 10.162747
7 39.815994 4.037947 11.186563
8 55.733754 4.008467 12.314764
9 55.733754 3.894565 13.770445
10 44.568198 3.751731 12.532248
11 39.815994 4.75738 12.561881
12 39.815994 7.482523 14.265679
13 46.957832 6.293285 13.544918
14 38.070046 9.889696 14.013471
15 38.070046 10.165361 14.223097
16 38.070046 10.360204 13.761058
17 38.070046 10.959431 13.879497
18 38.070046 8.401407 12.714996
19 49.712052 8.108944 13.130557
