

gen best mean std
0 22.748282 -3.932765 5.583062
1 26.726108 -1.625397 6.602852
2 26.726108 -0.430952 6.893835
3 40.939456 2.210406 9.426002
4 40.939456 4.202131 12.340491
5 40.939456 5.451877 11.777831
6 40.939456 5.381307 10.754548
7 40.939456 6.425582 10.065909
8 40.939456 6.916297 9.993988
9 24.039105 7.143438 9.011866
10 24.039105 7.0078 8.794831
11 24.039105 6.890941 8.833889
12 36.51625 7.24093 9.024811
13 36.51625 8.452178 9.650744
14 36.51625 9.919186 10.075343
15 36.51625 12.10922 10.008443
16 36.51625 13.859845 9.072339
17 36.51625 15.194523 8.192558
18 36.51625 15.324845 8.041856
19 36.51625 13.407212 8.050297
