

gen best mean std
0 14.82847 -4.28598 4.828748
1 31.707688 -0.991725 8.312919
2 31.707688 1.362438 9.201657
3 31.707688 2.890201 9.836458
4 31.707688 2.908572 9.602327
5 31.707688 4.972425 10.097406
6 31.707688 4.964951 10.004267
7 31.707688 8.165884 11.990895
8 31.707688 7.499987 10.830168
9 31.707688 8.948261 12.157583
10 31.707688 8.208616 11.969531
11 39.114285 12.772932 12.568983
12 39.114285 15.243473 12.379742
13 39.114285 15.715475 11.473624
14 39.114285 15.913274 11.426964
15 39.114285 16.404782 11.343068
16 39.114285 16.774427 11.369238
17 39.114285 18.482708 12.381455
18 39.114285 16.702143 12.410931
19 39.114285 18.108235 12.915411
