

gen best mean std
0 26.617487 -2.702453 6.26432
1 26.617487 -0.985676 7.398625
2 27.616518 2.117037 10.448545
3 27.616518 1.58936 11.098662
4 35.867404 2.59754 11.860314
5 35.867404 5.731455 12.918675
6 37.962501 7.065255 12.361713
7 37.962501 11.995001 12.405887
8 37.962501 13.512012 11.565613
9 37.962501 14.553573 9.672063
10 38.02769 15.363515 10.72214
11 38.034629 16.39705 10.615342
12 38.034629 16.592414 10.200608
13 51.355384 18.234222 11.982127
14 51.355384 18.757863 11.132089
15 51.355384 18.209694 11.620256
16 38.034629 19.452658 10.19015
17 44.779998 19.833101 9.668271
18 35.527356 21.528635 8.872526
19 41.027812 20.821779 9.308519
