

gen best mean std
0 28.883775 -2.006453 7.374098
1 39.931846 -0.260763 8.768471
2 39.931846 2.444193 9.466687
3 39.931846 5.275844 10.714667
4 39.931846 8.199642 11.576495
5 39.931846 7.316825 11.027713
6 49.616125 9.390782 12.464766
7 30.950328 9.415935 11.04946
8 33.591126 13.019253 11.833429
9 39.745395 13.829696 12.435156
10 39.937585 16.291686 11.643498
11 39.937585 16.098774 12.348159
12 37.346704 15.037351 11.738826
13 39.868311 19.315356 11.709466
14 43.025876 20.309594 12.895785
15 49.633721 20.426437 13.006273
16 49.633721 21.756195 12.711215
17 49.633721 25.550772 12.259357
18 49.633721 24.534257 10.716297
19 48.606104 25.055251 10.527493
