

gen best mean std
0 19.344131 -3.259 5.988667
1 19.344131 -0.245448 7.950476
2 23.584469 0.592933 8.416655
3 23.584469 -0.482884 7.613899
4 23.584469 0.89142 9.173347
5 32.314238 2.916643 10.569258
6 32.314238 3.598034 9.972172
7 32.314238 6.022526 11.268923
8 32.314238 5.467459 10.680785
9 31.984335 4.656039 11.693357
10 31.859091 6.572739 11.446756
11 31.859091 8.712122 11.942878
12 34.739874 10.316924 12.714288
13 34.084536 11.441484 11.102829
14 34.084536 13.245785 12.022899
15 34.084536 15.243851 12.12798
16 34.084536 13.842994 11.881474
17 34.084536 17.222346 10.165261
18 34.469568 18.591367 9.092997
19 34.469568 19.120542 8.987354
