

gen best mean std
0 9.048832 -4.504924 3.985999
1 9.765534 -3.434043 4.853578
2 14.648017 -2.23972 6.197511
3 36.838489 -0.91174 7.487353
4 26.941675 -0.266237 7.631984
5 27.633829 2.361253 10.569559
6 42.228394 3.242123 12.034791
7 27.633829 3.64739 11.013052
8 32.847748 6.099909 12.694898
9 32.847748 5.789148 12.594578
10 26.941675 4.106589 10.877666
11 26.941675 4.180834 10.893977
12 26.941675 4.235512 12.081601
13 35.147846 6.068043 12.527891
14 26.941675 6.653094 12.220919
15 37.186209 7.596276 11.906011
16 37.186209 10.34142 12.312865
17 41.469904 13.424738 13.386951
18 41.469904 15.008944 13.907138
19 41.469904 14.809529 13.359413
