

gen best mean std
0 22.206043 -4.123037 5.117043
1 16.724668 -1.948063 6.665261
2 19.417114 0.273247 8.100266
3 41.551466 1.376995 9.787295
4 53.646242 4.085583 13.874069
5 53.646242 7.52798 17.11022
6 53.646242 7.01995 15.869078
7 53.646242 8.617994 15.86295
8 53.646242 11.774455 16.213417
9 53.646242 14.13474 16.483321
10 45.485603 18.127939 16.101197
11 45.485603 17.445135 15.685127
12 45.485603 19.161734 15.638073
13 44.202518 18.197404 14.828049
14 44.202518 20.913163 14.446471
15 44.202518 21.987249 13.957259
16 44.202518 21.614741 14.131782
17 44.202518 24.800452 12.756185
18 49.656489 26.151427 11.443236
19 44.202518 27.964693 11.326997
