

gen best mean std
0 41.543409 -2.464356 9.021013
1 26.995123 -1.276014 8.87142
2 26.995123 0.722512 9.681448
3 26.995123 3.27195 10.074003
4 38.026256 9.251176 14.310191
5 38.026256 9.806202 13.042544
6 38.026256 13.085097 13.441618
7 41.389658 15.503352 11.973045
8 46.911385 14.189719 13.070523
9 46.911385 16.842355 14.017679
10 46.911385 18.86307 13.939231
11 46.911385 21.56804 13.518013
12 46.911385 19.439383 13.913666
13 46.911385 22.418687 13.315261
14 46.911385 26.230416 12.4441
15 63.325976 25.810019 12.271761
16 63.325976 27.132908 14.424333
17 63.325976 27.596303 15.569511
18 63.325976 27.316946 14.380392
19 63.325976 25.91721 14.652364
