

gen best mean std
0 16.701126 -2.532091 6.74377
1 44.396946 1.023134 9.762706
2 21.5999 1.574788 8.180674
3 21.5999 1.806026 8.397738
4 39.897759 3.339803 9.680437
5 39.897759 3.661394 11.642938
6 39.897759 2.791664 11.813013
7 39.897759 6.148527 16.095456
8 39.897759 9.050372 17.616752
9 39.897759 13.195308 19.493301
10 39.897759 12.23412 18.940538
11 39.897759 12.687725 18.716279
12 39.897759 9.833434 17.871337
13 39.897759 12.23707 19.356296
14 39.897759 12.813357 19.512956
15 39.897759 10.487649 17.322081
16 39.897759 15.559898 17.329794
17 39.897759 16.645467 15.683744
18 39.897759 18.988754 14.362311
19 39.897759 20.446281 15.333284
