

gen best mean std
0 11.894815 -4.945736 3.382535
1 34.018619 -3.455665 6.251227
2 34.018619 -0.234227 9.820165
3 34.018619 0.231691 9.671305
4 34.018619 0.149855 9.074144
5 19.185218 0.252647 7.140773
6 31.971975 1.701414 8.36168
7 31.971975 2.686051 9.835687
8 31.971975 3.890184 10.899277
9 38.194637 4.988629 11.834858
10 25.922726 6.473551 10.304872
11 25.922726 7.378027 10.886103
12 27.907833 9.547471 10.735413
13 27.907833 10.724739 11.312279
14 27.907833 10.526197 10.803891
15 28.197906 10.991339 11.280463
16 30.51373 12.37064 10.160785
17 30.51373 14.283345 10.188024
18 36.963568 16.618674 10.069542
19 36.963568 16.292171 10.902154
