

gen best mean std
0 30.845745 -2.589742 7.56542
1 35.992157 -1.317931 9.627662
2 35.992157 0.719384 10.416974
3 37.906751 2.747121 11.431526
4 37.906751 3.448752 11.017568
5 37.906751 3.078422 10.336631
6 37.906751 5.124371 11.877715
7 37.906751 4.034299 12.03489
8 37.906751 4.253602 11.360458
9 37.906751 5.693271 13.142909
10 37.906751 6.905644 13.30659
11 35.387688 4.404914 11.104904
12 31.294229 3.225264 9.28851
13 28.655011 1.09339 8.132609
14 28.655011 2.034678 7.948628
15 23.211284 1.553554 6.846971
16 23.211284 0.725143 7.103601
17 26.794589 0.757671 7.418446
18 31.395704 1.96014 8.714088
19 31.395704 3.117198 10.039258
