

gen best mean std
0 11.516935 -4.107832 4.595589
1 12.332552 -2.268389 5.996157
2 28.817087 -1.092856 7.76307
3 28.817087 0.222753 8.813516
4 39.051754 3.812802 11.716897
5 28.817087 2.530551 10.332722
6 28.817087 6.100648 11.884859
7 28.817087 6.101253 10.523899
8 30.187227 10.321415 11.824353
9 30.187227 12.293608 10.950482
10 28.817087 12.164559 10.306902
11 28.817087 12.109854 10.155844
12 28.817087 11.074156 8.930536
13 28.817087 13.963758 8.928135
14 28.817087 15.886641 9.021193
15 28.817087 15.979004 9.167938
16 28.817087 14.920281 9.733359
17 28.817087 13.397069 9.199178
18 28.817087 13.929151 8.988764
19 28.817087 13.897044 8.384037
