

gen best mean std
0 12.48694 -3.863103 4.597831
1 16.729554 -1.213173 6.262306
2 25.170135 -0.12319 7.418933
3 25.170135 0.431943 9.183403
4 32.704771 1.016792 9.734191
5 23.542677 2.127818 9.296194
6 23.784043 1.504516 8.796646
7 23.542677 1.745929 8.322332
8 25.251139 1.698799 8.884861
9 25.251139 4.804412 9.664017
10 25.251139 6.028067 10.12073
11 25.251139 7.498581 9.866392
12 25.543374 7.470055 10.410981
13 26.106144 8.921433 10.952596
14 26.106144 9.874937 11.565676
15 26.106144 9.810101 10.846367
16 25.487347 9.529204 10.031689
17 25.251139 10.069729 9.015417
18 25.251139 9.971942 8.533786
19 32.422963 10.091748 8.951126
