

gen best mean std
0 27.404895 -2.404611 6.627278
1 27.404895 0.112633 8.129458
2 27.404895 3.616575 9.521025
3 27.404895 3.453873 9.599386
4 34.975825 7.223216 11.812423
5 30.853825 5.808501 9.624756
6 30.853825 6.533817 10.303584
7 30.853825 8.201729 11.450873
8 51.033321 7.850314 12.036449
9 51.033321 9.357127 13.006178
10 51.445836 9.650626 15.297812
11 51.445836 11.660908 16.17386
12 51.445836 10.319684 18.364526
13 51.445836 11.924289 16.836299
14 53.858616 13.958115 17.336309
15 51.033321 13.73177 15.860913
16 51.033321 14.355713 16.438513
17 51.033321 16.141346 16.712615
18 55.994579 17.062788 17.181568
19 55.994579 20.50695 17.464522
