

gen best mean std
0 42.202171 -2.331998 9.39655
1 35.885556 -0.960352 8.067116
2 35.885556 0.293854 8.477121
3 31.083773 0.824809 8.21239
4 31.083773 1.381609 9.160191
5 31.083773 3.015801 10.502908
6 36.092307 2.521379 9.918779
7 38.048454 5.661177 11.946946
8 37.997662 7.713067 11.748574
9 37.997662 6.875499 12.921306
10 49.181451 9.207693 13.7528
11 49.181451 11.811727 15.104494
12 49.181451 12.647918 17.056053
13 49.181451 12.306991 15.993821
14 49.181451 11.864719 15.17192
15 37.759657 12.307722 14.829559
16 37.902999 11.045486 16.000054
17 37.759657 10.56106 15.828033
18 37.915877 9.094524 16.036234
19 36.062076 10.177774 16.537854
