

gen best mean std
0 34.171128 -3.777168 7.376401
1 34.171128 -2.674833 7.471607
2 34.171128 0.313937 10.408425
3 34.171128 1.650099 10.668182
4 34.171128 3.661912 12.395634
5 34.171128 6.053427 12.682902
6 35.027457 4.633918 12.694965
7 35.027457 4.568633 13.036413
8 41.98124 3.283378 12.22417
9 41.98124 0.693795 10.362204
10 32.470289 4.304651 13.357791
11 32.470289 5.183773 11.843358
12 35.688676 7.469653 12.400605
13 35.688676 7.410141 12.628585
14 35.688676 9.15053 12.896844
15 35.688676 10.372588 12.528216
16 35.688676 12.044364 12.415274
17 39.260331 11.82267 11.956753
18 39.260331 15.717832 12.987439
19 39.260331 16.188027 12.534665
