,0,1
0,-7.6,-24.0
0,-40.0,8.4
0,-18.8,-4.8
0,-2.4,-6.8
0,14.0,1.2
0,14.8,-22.8
0,-9.2,-38.0
0,-26.0,-17.2
0,-46.0,-25.6
0,33.2,-24.0
