

gen best mean std
0 75.200907 5.343625 19.484191
1 75.200907 9.112115 22.23868
2 86.882547 17.203515 25.601679
3 86.882547 25.522511 26.225905
4 86.882547 31.346446 25.515952
5 86.882547 39.857621 24.407193
6 86.882547 45.825766 21.443412
7 86.882547 49.74521 21.133167
8 86.882547 55.931517 19.396857
9 86.882547 60.700184 17.386395
10 86.882547 63.265797 18.436849
11 87.133573 66.480744 15.618157
12 87.133573 67.993993 15.796645
13 87.133573 71.430072 12.195889
14 87.133573 71.608434 13.409605
15 87.133573 72.85411 12.871515
16 87.133573 72.979635 15.261627
17 87.133573 75.591103 12.391317
18 87.133573 73.311555 18.315545
19 87.133573 74.372409 16.920059
