

gen best mean std
0 91.930119 11.084704 31.752723
1 91.930119 14.513107 32.314314
2 91.930119 23.619517 34.797008
3 91.933573 37.219039 36.221049
4 91.933573 45.258798 35.280438
5 91.933573 52.695762 33.014917
6 92.133573 62.014476 29.616233
7 92.133573 68.970818 25.400468
8 92.133573 75.913768 21.184835
9 92.347727 79.088985 22.314863
10 92.347727 78.469096 24.506966
11 92.643172 86.168427 15.011298
12 93.327729 86.764434 14.974587
13 93.327729 89.367891 11.119503
14 93.327729 89.092456 9.362923
15 93.327729 90.551356 9.584903
16 93.327729 90.258153 11.28019
17 93.327729 89.858956 10.163816
18 93.327729 90.660697 8.598748
19 93.327729 91.809417 2.626023
