

gen best mean std
0 91.349357 6.305116 25.218389
1 91.349357 11.225827 28.663797
2 91.349357 17.263632 32.521622
3 91.349357 25.644719 36.25291
4 91.349357 29.172627 37.103741
5 93.261683 36.977518 40.012414
6 93.639644 47.557583 39.687018
7 93.639644 59.237525 37.536599
8 93.639644 67.244513 33.778307
9 93.936796 73.764433 30.220287
10 93.936796 82.582927 20.56763
11 94.157198 87.250541 13.96992
12 94.157198 90.139333 7.305727
13 94.157198 90.062444 9.203307
14 94.157198 90.886219 9.386808
15 94.157198 92.388456 1.37687
16 94.157198 91.904699 7.064279
17 94.157198 91.445199 8.74186
18 94.157198 92.975083 1.048912
19 94.157198 93.13907 0.899964
