

gen best mean std
0 91.843172 7.45595 28.30519
1 92.133573 12.399013 31.592952
2 92.133573 17.356221 34.275155
3 92.133573 24.57881 36.77341
4 92.658736 39.675113 38.638688
5 92.658736 55.387219 35.60169
6 92.961921 69.716179 28.976617
7 92.961921 81.202632 16.656707
8 92.961921 87.529976 8.206027
9 92.961921 84.465129 18.922333
10 92.961921 88.710079 9.564383
11 93.452892 91.157049 3.461352
12 93.452892 90.766768 6.21236
13 94.569562 92.111857 0.581977
14 94.569562 92.19184 0.609984
15 94.569562 92.264818 0.636895
16 94.569562 92.301589 0.680976
17 94.569562 89.459706 15.007322
18 94.569562 89.998977 13.229954
19 94.569562 92.438742 0.769412
