

gen best mean std
0 75.200907 5.227614 20.614567
1 75.397881 9.52169 23.16018
2 75.397881 14.630224 24.139977
3 75.397881 17.363238 24.134718
4 86.179927 25.482451 25.361726
5 87.224051 31.643844 24.844941
6 87.224051 38.194124 22.869305
7 87.224051 42.443419 22.329366
8 87.224051 45.665905 22.194606
9 87.224051 48.602571 23.416839
10 87.224051 56.304689 19.932505
11 87.224051 60.780111 18.380887
12 87.624051 65.231524 16.575625
13 87.624051 69.504509 13.872711
14 87.624051 72.45885 11.733768
15 87.624051 69.874766 17.304
16 87.624051 68.763742 20.148088
17 87.624051 67.955728 21.427637
18 87.624051 70.623896 17.179989
19 87.624051 73.080708 13.82287
