

gen best mean std
0 93.021683 12.841407 30.068857
1 93.021683 18.461215 31.576652
2 93.021683 25.944721 33.340984
3 93.021683 30.437517 35.456333
4 93.021683 38.098861 37.406423
5 94.084826 51.584986 36.84925
6 94.084826 62.423274 33.39423
7 94.084826 71.675706 28.702888
8 94.084826 74.603185 27.361218
9 94.084826 83.946994 17.484884
10 94.084826 82.925387 20.453643
11 94.084826 85.684187 17.121771
12 94.157198 86.617526 16.249341
13 94.157198 86.75332 19.018099
14 94.157198 91.491303 4.988018
15 94.157198 92.218318 3.003313
16 94.157198 92.687164 1.184597
17 94.157198 87.924828 19.94099
18 94.157198 90.118112 14.943723
19 94.157198 92.573402 4.619646
