

gen best mean std
0 92.039318 4.444247 23.542889
1 92.039318 8.455219 28.031459
2 92.039318 15.235562 32.334635
3 92.039318 24.69051 36.264841
4 92.568788 37.649364 38.828613
5 92.568788 50.460775 36.723743
6 92.568788 59.757733 34.215394
7 92.568788 69.793686 27.570913
8 92.568788 76.129354 20.467003
9 92.568788 80.99615 17.971617
10 92.568788 84.516249 12.49825
11 92.568788 84.171544 15.507349
12 92.568788 83.19994 19.641961
13 92.568788 81.709823 24.045671
14 92.568788 85.243601 16.62033
15 92.572379 86.503646 16.582247
16 92.572379 89.44198 8.956601
17 92.572379 88.241943 15.149205
18 92.572379 88.962248 13.101906
19 92.572379 91.109796 3.256707
