

gen best mean std
0 93.828962 11.198507 29.841802
1 93.828962 20.101164 34.875175
2 93.828962 29.942048 38.040008
3 93.828962 40.169935 39.244349
4 93.828962 49.876061 39.249248
5 93.923414 65.64753 34.436544
6 93.923414 75.069383 27.591805
7 93.936796 85.879855 16.853867
8 93.936796 91.320148 2.493817
9 93.936796 91.005303 9.297562
10 93.936796 92.448152 1.176576
11 93.936796 91.390441 9.355811
12 93.936796 91.986366 9.169049
13 93.936796 90.194251 14.449954
14 93.936796 92.189248 9.127663
15 93.936796 93.332294 0.657538
16 93.936796 93.318537 0.720067
17 93.936796 93.291662 0.864887
18 93.936796 92.396386 9.121028
19 93.936796 93.43751 0.618188
