

gen best mean std
0 93.092828 14.266232 30.487567
1 93.092828 25.703456 36.229269
2 93.092828 39.996542 39.831565
3 93.171655 50.323709 39.305112
4 93.57194 61.528567 35.139065
5 93.936796 72.082848 29.449143
6 93.936796 78.742672 25.476423
7 93.936796 88.75355 10.705186
8 93.936796 91.678259 1.575559
9 93.936796 92.091064 1.423433
10 93.936796 91.567473 9.228682
11 93.936796 88.433231 18.663061
12 94.195993 91.269437 11.209717
13 94.195993 93.18934 0.785606
14 94.209651 93.353961 0.681815
15 94.209651 88.589642 20.301245
16 94.209651 89.88515 16.735397
17 94.209651 90.81335 13.761453
18 94.209651 92.786841 5.496675
19 94.209651 93.391211 0.789994
