

gen best mean std
0 75.200907 4.357578 19.26531
1 75.200907 6.581886 20.538981
2 75.200907 10.085677 22.729858
3 75.200907 13.84857 23.810855
4 75.200907 18.942597 24.620534
5 75.431655 23.744775 25.341151
6 75.431655 28.369638 24.856513
7 75.431655 33.552283 25.176553
8 86.289573 39.586507 23.88164
9 86.289573 43.666908 23.816417
10 87.624051 49.134381 22.42619
11 87.624051 52.018444 22.618867
12 87.624051 56.461733 21.070255
13 87.624051 58.69434 19.187092
14 87.624051 62.576976 17.040907
15 87.624051 63.014612 17.543495
16 87.624051 64.948481 16.876865
17 87.624051 67.596067 17.052958
18 87.624051 69.90657 13.443222
19 87.624051 70.607097 13.449414
