

gen best mean std
0 75.200907 2.394182 18.030616
1 75.200907 6.339294 20.55275
2 75.200907 11.890213 23.713266
3 75.200907 16.641265 25.819048
4 75.200907 20.568136 25.981989
5 75.200907 29.186158 25.714322
6 87.082547 36.808337 24.429749
7 87.224051 39.472598 25.562117
8 87.224051 44.54986 25.024141
9 87.224051 48.624113 23.244996
10 87.224051 50.691421 25.257955
11 87.224051 54.611673 23.036589
12 87.224051 61.975282 18.450241
13 87.297367 65.270787 18.362836
14 87.297367 68.416357 14.634039
15 87.297367 67.919686 16.878404
16 87.297367 69.127704 16.168621
17 87.297367 67.435529 18.492124
18 87.297367 68.001111 19.218819
19 87.297367 71.667146 14.813348
