

gen best mean std
0 66.200907 2.628074 17.746961
1 66.200907 5.533387 19.154939
2 66.200907 10.088687 21.290458
3 75.200907 14.472543 22.210059
4 75.358093 23.067612 23.65258
5 87.624051 29.899679 24.250779
6 87.624051 37.102239 21.924193
7 87.624051 43.938507 21.422289
8 87.624051 51.265554 20.004393
9 87.624051 56.278591 19.22645
10 87.624051 60.23704 17.395342
11 87.624051 65.487717 14.104048
12 87.624051 66.585211 14.488142
13 87.624051 68.964239 12.719873
14 87.624051 67.235569 17.129954
15 87.624051 69.925747 15.597429
16 87.627846 71.291872 15.290411
17 87.627846 72.702766 14.843409
18 87.627846 74.10668 13.214913
19 87.627846 75.6034 11.810489
