

gen best mean std
0 75.431655 1.992003 16.825982
1 75.431655 6.977224 22.01002
2 75.431655 10.69109 24.455588
3 75.431655 16.933628 26.645508
4 75.431655 23.681232 26.975955
5 83.84563 30.950494 26.786647
6 83.84563 36.659589 25.170575
7 83.84563 41.883677 24.471231
8 83.84563 46.273313 24.14099
9 83.84563 52.457492 19.432863
10 83.84563 55.40392 18.274975
11 84.168118 56.595183 21.49175
12 84.168118 58.382245 21.342285
13 84.168118 59.05282 20.073813
14 84.168118 61.294637 18.310723
15 84.168118 63.998967 15.772821
16 84.168118 65.260731 14.78227
17 86.227846 67.701819 13.567135
18 86.227846 68.106537 13.613494
19 86.227846 69.528032 12.927434
