

gen best mean std
0 92.686571 9.277528 30.010172
1 92.686571 15.124257 32.54503
2 92.686571 22.91349 35.423544
3 92.686571 31.792103 36.815861
4 92.686571 41.890896 36.646885
5 92.686571 50.873523 33.068831
6 92.686571 59.085998 29.474128
7 92.686571 66.049997 26.077831
8 92.686571 75.264486 21.550352
9 92.686571 80.135117 19.259249
10 92.686571 81.521658 19.445863
11 92.686571 83.49935 19.791322
12 92.686571 86.542527 14.905876
13 92.686571 87.490933 12.77649
14 92.686571 89.887006 7.670661
15 92.686571 87.666423 15.559339
16 92.686571 90.647972 6.886567
17 92.686571 91.469012 4.28767
18 92.686571 91.601318 5.285933
19 92.686571 88.806417 16.47398
