

gen best mean std
0 65.899681 1.464091 16.528449
1 66.200907 6.27443 20.463268
2 66.431655 11.175101 23.331832
3 66.431655 16.022427 24.193613
4 75.200907 23.107658 25.448007
5 86.771489 29.985558 25.33992
6 86.771489 36.543474 24.280059
7 86.771489 39.683689 25.170481
8 87.250607 43.337807 25.231598
9 87.250607 47.809258 23.605468
10 87.250607 50.345365 23.520197
11 87.250607 51.176183 23.576954
12 87.250607 57.445645 20.070126
13 87.250607 58.985748 20.902951
14 87.250607 61.711694 19.512389
15 87.250607 63.333973 17.074131
16 87.250607 62.544655 18.712994
17 87.250607 62.300988 22.323454
18 87.333573 65.522184 17.556585
19 87.333573 65.652193 17.461973
