

gen best mean std
0 93.272892 11.628764 31.023403
1 93.51194 17.168729 33.903193
2 93.51194 26.896972 38.050313
3 93.6239 37.822547 40.524459
4 93.936796 49.526131 39.346867
5 93.936796 64.833162 35.122497
6 93.936796 78.290852 25.860855
7 93.936796 86.632942 15.311418
8 93.936796 91.702855 2.195815
9 93.936796 92.235594 1.524833
10 93.936796 92.3145 4.575061
11 93.936796 91.504559 10.324924
12 93.936796 88.710053 18.573574
13 93.936796 93.037315 1.165543
14 93.936796 93.171331 0.83173
15 94.164803 93.405462 0.606132
16 94.164803 90.64453 15.277989
17 94.164803 93.394941 0.669893
18 94.164803 93.552211 0.447365
19 94.164803 93.625038 0.422961
