

gen best mean std
0 91.572379 6.715884 25.769309
1 91.572379 12.693901 31.303881
2 91.933573 19.145987 34.438324
3 91.933573 29.912478 37.236141
4 91.933573 38.693362 37.911761
5 92.643172 50.765496 36.624668
6 92.643172 58.83974 32.221271
7 92.643172 67.283792 25.883422
8 92.718596 74.346314 22.140792
9 92.852892 79.097591 20.184607
10 92.852892 87.480302 8.861516
11 92.852892 90.717045 3.950409
12 92.852892 91.253344 3.10709
13 92.852892 91.430875 5.277574
14 92.852892 90.204202 12.071278
15 92.852892 92.126932 0.410163
16 92.852892 90.253117 11.242808
17 93.17505 91.27173 6.596884
18 93.17505 92.202284 0.397854
19 93.17505 91.499979 7.093545
