

gen best mean std
0 93.15194 6.461515 23.834522
1 93.15194 11.108471 27.187379
2 93.352506 19.117902 31.10234
3 93.352506 27.035395 33.541223
4 93.352506 32.063633 34.378232
5 93.554823 40.534884 36.081359
6 93.554823 50.520522 35.843569
7 93.554823 59.182267 33.684415
8 93.554823 63.715222 33.268319
9 93.936796 75.984913 25.991268
10 93.936796 85.093301 17.206606
11 93.936796 89.017011 11.23827
12 93.936796 87.354697 16.898751
13 93.940945 91.087217 5.301142
14 93.940945 92.090838 1.436166
15 93.940945 91.454044 8.995168
16 93.940945 92.800491 1.006197
17 93.940945 91.552791 9.554927
18 94.097405 90.504919 14.02386
19 94.097405 93.082219 0.91275
