

gen best mean std
0 93.936796 10.576759 27.714313
1 93.936796 17.647129 31.766082
2 93.936796 25.869391 35.21813
3 93.936796 32.197864 36.353584
4 93.936796 45.520877 36.025131
5 93.936796 58.35563 34.365025
6 93.936796 69.047558 30.102915
7 93.936796 80.968028 19.273732
8 93.936796 87.691146 12.080875
9 93.936796 90.730262 7.146072
10 93.936796 92.23951 2.260958
11 93.936796 92.578403 2.185817
12 94.169567 93.06463 0.878862
13 94.169567 93.094104 1.092559
14 94.169567 90.491341 15.270507
15 94.169567 92.504672 9.018363
16 94.169567 92.477214 8.146687
17 94.169567 91.162048 12.816269
18 94.169567 93.261655 0.987961
19 94.169567 92.495706 9.094995
