

gen best mean std
0 93.37505 11.94609 32.199429
1 93.37505 20.168919 36.049674
2 93.37505 29.001585 38.254923
3 93.37505 39.192551 36.872708
4 93.37505 50.23098 35.635113
5 93.37505 60.302383 29.700046
6 93.37505 65.111246 26.453731
7 93.37505 71.488821 24.521309
8 93.37505 75.12265 25.117504
9 93.37505 79.74061 20.962596
10 93.37505 83.181373 17.656578
11 93.37505 85.631359 16.552632
12 93.37505 87.493217 13.611176
13 93.37505 88.002933 12.83503
14 93.37505 87.181344 18.286912
15 93.37505 90.034023 11.296546
16 93.37505 90.670983 9.424383
17 93.37505 89.364292 13.788782
18 93.37505 90.114384 9.907414
19 93.37505 88.844814 12.82312
