

gen best mean std
0 75.200907 6.220725 21.277029
1 75.200907 11.573043 23.98172
2 75.200907 17.63581 25.469783
3 75.200907 23.29064 24.904991
4 75.200907 28.902619 23.603263
5 75.200907 30.903304 23.011513
6 75.200907 37.503779 23.99532
7 75.200907 41.229821 22.849374
8 87.627846 42.798984 24.056959
9 87.627846 45.086353 23.613934
10 87.627846 52.760626 21.598507
11 87.627846 55.644294 20.96462
12 87.627846 57.35605 20.245418
13 87.627846 58.112898 21.60584
14 87.627846 58.816927 21.322047
15 87.627846 62.403405 18.098747
16 87.627846 63.349788 19.148348
17 87.627846 66.611349 16.344026
18 87.627846 70.196487 13.639978
19 87.627846 71.959917 14.809185
