

gen best mean std
0 66.200907 3.670271 16.934128
1 66.200907 8.267839 19.833774
2 86.386872 13.429938 23.157898
3 86.386872 19.626567 24.660227
4 86.386872 25.095578 24.685304
5 86.386872 33.720648 23.492442
6 87.024051 43.737528 20.848939
7 87.624051 45.910764 21.924335
8 87.624051 52.131735 19.808923
9 87.682547 56.568259 18.581119
10 87.682547 58.870817 19.010928
11 87.682547 64.287431 15.148177
12 87.682547 67.677821 12.726716
13 87.682547 70.045447 11.471831
14 87.682547 70.006821 13.126289
15 87.682547 71.800181 11.941763
16 87.682547 74.007763 8.980567
17 87.682547 74.729378 9.569541
18 87.682547 73.186178 15.018467
19 87.682547 74.710328 12.811862
