

gen best mean std
0 91.858736 2.675316 20.279873
1 91.858736 11.834426 29.845071
2 91.858736 18.44681 33.387218
3 91.858736 30.726274 38.070345
4 91.933573 42.176076 37.19758
5 91.933573 48.834512 35.765925
6 91.933573 60.240813 29.653915
7 91.933573 72.905382 20.313528
8 91.933573 76.752231 18.704072
9 91.933573 80.748743 17.379753
10 92.072746 84.168334 13.97871
11 92.072746 87.688772 9.515444
12 92.072746 87.576959 15.63996
13 92.072746 87.544312 13.864851
14 92.072746 89.45314 7.434736
15 92.572379 89.0822 10.687145
16 93.472124 87.601005 15.510534
17 93.472124 91.277542 4.320141
18 93.472124 91.405823 5.237359
19 93.472124 92.037708 0.391959
