

gen best mean std
0 92.133573 9.568946 27.849472
1 92.133573 16.055894 30.985293
2 92.966278 25.391581 35.686893
3 92.966278 32.245543 37.294663
4 92.966278 41.375181 35.633847
5 92.966278 52.406385 32.975944
6 92.966278 62.422808 27.735319
7 92.966278 62.454767 29.780984
8 92.966278 70.678198 24.491523
9 92.966278 74.099329 22.206922
10 93.332142 79.663027 17.090974
11 93.332142 82.507896 16.388079
12 93.332142 86.866862 10.232178
13 93.332142 88.068283 8.806983
14 93.332142 89.407841 7.103143
15 93.332142 87.031155 14.946924
16 93.332142 89.374513 9.769332
17 93.332142 90.185548 9.134894
18 93.332142 88.439464 13.269198
19 93.332142 86.593185 19.158705
