

gen best mean std
0 75.200907 -1.174946 12.237735
1 75.200907 2.213862 16.406177
2 75.200907 5.094088 19.144126
3 75.200907 8.603205 20.6979
4 75.200907 14.081566 22.592787
5 75.412751 20.485309 24.274291
6 75.412751 27.098866 23.829263
7 75.412751 33.810295 22.91692
8 75.412751 38.880398 21.610369
9 75.412751 43.692975 20.462939
10 75.412751 47.875791 20.386517
11 75.412751 53.501125 18.224928
12 75.412751 57.915866 16.057192
13 84.168118 57.952405 18.148719
14 86.882547 60.77829 18.320821
15 86.882547 66.282699 12.291637
16 87.624051 66.991461 14.722415
17 87.624051 68.461831 13.743052
18 87.624051 68.237856 15.872649
19 87.624051 70.652968 13.432962
