

gen best mean std
0 91.084928 9.005534 28.108203
1 91.302889 16.573358 33.218382
2 93.936796 23.745034 36.640662
3 93.936796 32.825054 39.11124
4 93.936796 42.951581 40.509661
5 93.936796 54.532699 40.457462
6 94.30625 64.469771 36.865366
7 94.30625 72.426927 31.858385
8 94.30625 82.122147 22.407961
9 94.30625 90.021584 8.096165
10 94.30625 90.557929 9.672958
11 94.30625 90.67843 10.08735
12 94.30625 92.67279 1.286729
13 94.30625 93.159535 0.812692
14 94.30625 91.393306 12.111986
15 94.30625 92.911966 2.953774
16 94.30625 93.376184 0.721559
17 94.30625 93.347031 0.935357
18 94.324202 93.503 0.63953
19 94.324202 93.523482 0.633228
