

gen best mean std
0 57.401578 2.386974 15.064045
1 74.904175 7.294467 18.586875
2 74.904175 12.169511 20.506054
3 74.904175 18.881957 22.007486
4 75.42027 30.099156 23.586764
5 75.42027 38.164856 21.671788
6 89.39141 46.814927 21.795863
7 89.39141 49.763166 21.659371
8 89.39141 51.637928 22.993783
9 89.39141 58.861349 17.916136
10 89.39141 61.185023 18.195885
11 89.39141 65.999655 14.272763
12 89.39141 68.754593 11.147188
13 89.39141 69.520193 13.006499
14 89.39141 70.73661 10.622643
15 89.39141 69.57214 13.205197
16 89.39141 72.249731 10.271894
17 89.39141 71.969522 12.784439
18 89.39141 74.82056 9.937572
19 89.39141 75.038724 13.017713
