

gen best mean std
0 92.447846 9.784027 27.820455
1 92.447846 18.017884 32.752782
2 92.447846 28.929375 36.450422
3 92.447846 34.751113 37.044197
4 92.447846 43.4512 37.503781
5 92.447846 54.299583 35.669177
6 92.447846 60.136517 35.01715
7 93.501683 68.507225 30.164024
8 94.163754 72.582525 29.520876
9 94.163754 83.332672 19.234363
10 94.163754 87.978834 13.20904
11 94.163754 88.84415 12.094689
12 94.163754 90.131624 8.130307
13 94.163754 91.527667 1.49283
14 94.163754 91.776216 1.545978
15 94.282788 92.345688 1.299314
16 94.282788 92.761737 1.12896
17 94.282788 93.164385 0.843812
18 94.282788 93.370037 0.672783
19 94.282788 91.610036 11.454194
