

gen best mean std
0 84.424975 3.153742 16.872078
1 86.409685 10.307432 22.918472
2 87.297367 17.168663 24.415171
3 87.493725 24.183904 25.952409
4 87.609685 34.210424 27.443561
5 87.609685 42.859934 24.15918
6 87.609685 49.801407 22.23021
7 87.609685 54.668921 21.79233
8 87.609685 57.389646 20.978533
9 87.609685 61.542667 18.04082
10 87.609685 62.04932 20.59184
11 87.609685 65.896389 15.18103
12 87.609685 68.853449 12.798727
13 87.609685 68.515918 14.247569
14 87.609685 66.479374 18.067608
15 87.609685 67.060264 16.674176
16 87.609685 66.667282 18.22336
17 87.609685 70.9315 13.636777
18 87.609685 70.728807 16.140851
19 87.609685 71.751706 15.53995
