

gen best mean std
0 91.858736 12.467254 32.163013
1 91.858736 21.057251 36.014622
2 91.933573 33.6844 38.638594
3 91.933573 46.001504 37.140851
4 91.933573 54.82175 35.259384
5 91.933573 63.750419 31.259368
6 91.933573 76.400708 21.615978
7 92.212751 83.071696 14.247334
8 92.212751 85.886175 11.620509
9 92.212751 87.763374 11.86403
10 92.212751 86.65911 17.089746
11 92.568788 87.159781 16.655279
12 92.568788 87.604286 15.060321
13 92.568788 89.005287 11.627783
14 92.568788 89.145405 11.626357
15 93.012614 88.930787 13.147084
16 93.012614 90.967963 6.35835
17 93.012614 90.757464 6.564982
18 93.012614 89.223109 12.649907
19 93.012614 89.507937 13.889355
