

gen best mean std
0 94.151732 10.564042 28.312438
1 94.151732 14.826677 30.731149
2 94.151732 18.581906 31.924436
3 94.151732 23.884202 34.954916
4 94.151732 31.348595 36.584099
5 94.151732 41.363379 37.736569
6 94.151732 49.05495 37.21529
7 94.151732 59.454273 35.489896
8 94.151732 69.896096 30.055412
9 94.151732 78.798131 22.990354
10 94.151732 82.026611 20.839633
11 94.151732 84.46082 20.058192
12 94.168142 87.492122 15.496453
13 94.168142 90.036332 10.060511
14 94.168142 91.183369 5.483945
15 94.168142 90.198425 10.268867
16 94.168142 90.541024 11.53155
17 94.168142 90.709594 11.654169
18 94.168142 91.26995 9.17475
19 94.168142 91.596481 8.951858
