

gen best mean std
0 93.798216 9.908478 30.168122
1 93.798216 16.493082 33.237933
2 93.798216 24.403034 35.477522
3 93.798216 29.072548 36.910936
4 93.798216 35.501222 38.22822
5 93.798216 42.321787 39.17511
6 93.936796 52.197086 37.870713
7 93.936796 59.810331 35.476417
8 93.936796 65.360737 32.522626
9 93.936796 69.281664 32.055827
10 93.936796 81.388237 21.001238
11 93.936796 80.653133 25.134597
12 93.936796 86.559877 16.286282
13 93.936796 88.414016 13.633177
14 93.936796 88.288281 16.7748
15 93.936796 91.044509 8.144329
16 93.936796 92.586655 1.179406
17 93.997323 92.365213 4.91694
18 93.997323 92.075315 9.096023
19 93.997323 92.121789 9.094976
