

gen best mean std
0 93.392828 11.004918 29.749867
1 93.459644 20.316465 35.208775
2 93.814253 29.99013 38.017323
3 93.936796 38.746888 39.210438
4 93.936796 48.714206 38.125227
5 93.936796 52.977045 37.555435
6 93.936796 60.128775 35.606839
7 93.936796 70.864706 29.639888
8 93.936796 76.501143 25.581199
9 93.936796 81.807657 20.717129
10 93.936796 82.647386 22.059577
11 93.936796 88.55419 14.064674
12 93.936796 87.993681 16.040937
13 93.936796 89.79447 11.882245
14 93.936796 89.372092 13.816199
15 93.936796 91.601694 8.066424
16 93.936796 89.743902 15.263398
17 94.103414 92.298813 5.56886
18 94.103414 93.002207 1.020744
19 94.103414 91.822463 9.274449
