

gen best mean std
0 93.936796 10.142681 28.031816
1 93.936796 16.558974 32.142793
2 93.936796 22.410083 34.891262
3 93.936796 31.591149 36.768069
4 93.936796 38.612909 36.919738
5 93.936796 47.690057 37.210217
6 93.936796 57.912802 35.803186
7 93.936796 70.585075 30.200591
8 93.936796 78.00355 24.587712
9 93.936796 82.614205 20.326933
10 93.936796 83.975168 20.427325
11 94.057666 85.636681 19.037767
12 94.057666 83.456547 23.67322
13 94.057666 83.179701 25.225334
14 94.057666 83.719319 24.211281
15 94.057666 86.222847 20.117392
16 94.057666 84.413399 22.997643
17 94.057666 85.688506 22.49905
18 94.057666 86.339599 21.795335
19 94.057666 90.436156 11.912747
