

gen best mean std
0 93.790924 10.623793 27.997785
1 93.790924 18.167795 33.187931
2 93.790924 29.514785 37.947796
3 93.936796 42.096969 40.062931
4 93.936796 52.175735 38.600958
5 93.936796 62.469296 35.440613
6 94.168142 70.576017 30.459827
7 94.168142 76.71335 25.945794
8 94.168142 79.082884 23.78021
9 94.168142 81.936814 20.283995
10 94.168142 84.696615 17.488921
11 94.168142 85.803614 16.71063
12 94.168142 90.045283 7.723985
13 94.168142 91.798311 3.216657
14 94.168142 92.31331 1.683495
15 94.168142 92.61218 1.391206
16 94.168142 92.638259 2.922178
17 94.168142 90.947334 10.271758
18 94.168142 90.424014 12.737843
19 94.168142 88.802661 18.610935
