

gen best mean std
0 31.263813 -3.354294 7.010692
1 31.263813 -2.318901 7.212292
2 31.263813 0.018042 9.28622
3 31.263813 1.677676 9.373342
4 32.223272 5.83265 10.818682
5 32.223272 9.649528 10.038437
6 32.223272 11.967536 10.110495
7 32.223272 12.047834 9.319707
8 32.223272 13.827648 8.553654
9 34.37463 14.758451 9.92324
10 34.37463 16.963047 9.229817
11 34.37463 15.81806 10.61602
12 34.37463 16.353728 10.519418
13 40.325739 18.329544 10.233288
14 40.325739 17.726915 10.854011
15 40.325739 18.221735 11.400472
16 40.325739 18.422364 11.290994
17 40.325739 18.938339 11.03101
18 40.325739 18.864588 11.984227
19 40.325739 19.642116 11.531461
