

gen best mean std
0 15.200003 -3.885953 5.326657
1 17.449979 -1.695739 6.951502
2 17.449979 -0.217131 7.494091
3 22.22018 3.404089 8.519352
4 42.748385 6.188512 10.79652
5 42.748385 8.572474 11.430838
6 42.748385 10.933616 11.917383
7 42.748385 12.502097 12.050455
8 42.748385 13.987217 10.880701
9 42.748385 13.355328 11.496836
10 42.748385 14.722674 11.570246
11 42.748385 14.536035 11.807191
12 42.748385 17.176325 11.379534
13 42.748385 18.35056 11.461587
14 42.748385 18.126501 13.072974
15 42.748385 19.456502 13.225728
16 42.748385 20.875631 13.54617
17 42.748385 20.170201 12.486817
18 42.748385 20.658103 13.198965
19 42.748385 22.219256 12.111382
