

gen best mean std
0 31.293952 -1.871382 7.410651
1 31.293952 0.573728 8.202494
2 31.293952 3.55697 9.6919
3 37.995763 6.378798 9.846816
4 37.995763 8.283861 9.933903
5 37.995763 8.932165 10.463722
6 37.995763 11.351952 11.447429
7 37.995763 14.52219 11.475453
8 37.995763 14.713729 11.934265
9 37.995763 14.897697 10.524547
10 37.995763 15.527777 10.641648
11 37.995763 16.794185 10.933839
12 38.082946 19.525969 11.507968
13 38.082946 20.742481 10.749444
14 38.150799 22.452412 10.970875
15 41.320816 21.156555 11.049188
16 57.585228 22.319738 12.451766
17 57.585228 23.600529 13.294228
18 57.585228 25.106338 13.255405
19 57.585228 24.772556 14.986895
