

gen best mean std
0 31.108028 -3.009838 7.182369
1 35.976983 -0.795781 9.665198
2 35.976983 2.595373 11.270422
3 35.976983 5.675892 11.792362
4 35.976983 7.965617 11.831518
5 35.976983 10.913874 11.702693
6 35.976983 12.86948 11.08827
7 41.485454 15.965053 12.019142
8 41.485454 17.613798 12.115597
9 43.064851 19.599336 12.160305
10 43.064851 20.156526 11.983238
11 43.064851 20.103085 12.676262
12 43.064851 22.37996 12.867629
13 48.769805 24.454216 12.883331
14 48.769805 25.531612 12.828369
15 48.769805 27.030151 13.196821
16 48.769805 27.514973 14.123169
17 48.769805 29.469282 12.967796
18 51.445414 29.645052 12.330537
19 51.445414 30.278025 12.818367
