

gen best mean std
0 15.054047 -4.259247 4.758037
1 15.054047 -2.564187 5.537283
2 17.325778 -0.714241 6.893058
3 17.35631 1.031243 7.706152
4 17.35631 2.875288 7.360145
5 24.223128 3.869208 8.135507
6 35.388144 7.386235 9.159786
7 35.388144 9.894538 8.454872
8 35.388144 12.218127 8.120421
9 39.509845 13.943696 8.744875
10 39.509845 14.320497 9.647721
11 39.509845 15.582513 9.439026
12 39.509845 15.433828 8.964965
13 39.509845 15.646044 9.975963
14 39.509845 16.716926 9.684782
15 40.165221 18.739877 9.753623
16 40.165221 17.854976 11.355308
17 40.165221 18.890173 11.773378
18 40.165221 19.280391 11.274382
19 40.165221 18.188626 11.351319
