

gen best mean std
0 11.894815 -4.945736 3.382535
1 17.411583 -2.45335 6.211042
2 23.351399 -0.203778 7.911616
3 23.351399 2.122016 8.612189
4 23.351399 5.088905 8.291063
5 28.976786 6.274822 8.602692
6 29.114419 9.216907 8.079843
7 32.40878 10.224608 8.846457
8 32.40878 11.512765 8.635291
9 32.40878 12.162173 8.483515
10 32.40878 14.330012 8.137128
11 32.40878 14.92272 8.982061
12 32.40878 16.18849 9.777357
13 32.40878 16.758945 9.458366
14 32.40878 17.605484 9.786663
15 32.40878 17.065614 9.8717
16 32.40878 16.928529 8.682956
17 32.40878 16.989031 8.147138
18 32.40878 16.45765 9.065178
19 32.40878 16.017776 9.281101
