

gen best mean std
0 16.696333 -2.699559 5.726497
1 31.155925 0.274654 9.01279
2 31.155925 4.076666 10.830832
3 31.155925 6.52142 10.585538
4 31.155925 8.648666 10.089478
5 31.155925 11.007921 10.814828
6 38.008073 13.231577 10.145167
7 38.008073 14.659523 9.674013
8 39.837723 15.427478 11.327917
9 39.837723 15.307045 11.434567
10 42.963525 16.900236 12.059088
11 42.963525 17.208304 11.431417
12 51.731066 16.972042 12.619141
13 51.731066 16.936861 13.095447
14 51.731066 18.649887 12.864643
15 51.731066 18.972971 13.108203
16 51.731066 20.513839 13.907553
17 51.731066 20.642226 14.29951
18 51.731066 20.945141 13.597108
19 51.731066 21.819374 12.831046
