

gen best mean std
0 8.750531 -3.35538 4.596743
1 21.645839 0.388375 7.329775
2 21.645839 1.922986 7.445523
3 27.921256 3.327483 7.789837
4 27.921256 6.619585 7.60236
5 30.926011 7.229248 7.159916
6 33.482408 9.1416 8.346883
7 33.482408 10.382884 8.301889
8 33.482408 11.61204 8.781458
9 37.855529 14.434856 10.028371
10 46.170502 17.693824 11.426784
11 46.170502 19.165666 11.698312
12 46.170502 21.361888 11.740605
13 46.170502 21.481784 12.934235
14 46.170502 22.422616 13.033764
15 46.170502 22.565476 12.742855
16 46.900853 23.189203 12.938518
17 46.900853 22.765972 13.724789
18 53.779424 24.531284 13.328549
19 53.779424 24.134483 14.261453
