

gen best mean std
0 46.102326 -2.535493 9.771778
1 46.102326 0.241707 10.699449
2 46.102326 3.933503 12.361973
3 46.102326 6.415836 12.747342
4 46.102326 9.096116 13.141115
5 46.102326 12.407486 13.787236
6 46.102326 15.40261 13.376163
7 46.102326 17.440483 14.080514
8 46.102326 18.98815 13.346175
9 51.912761 22.213937 12.64927
10 51.912761 23.141496 13.751365
11 51.912761 23.531046 13.585582
12 51.912761 23.318817 14.090829
13 51.912761 24.359211 14.787828
14 51.912761 23.865118 15.401492
15 51.912761 25.060217 15.161602
16 60.620641 26.243848 15.610734
17 60.620641 28.469593 15.318981
18 60.620641 27.460264 15.892078
19 60.620641 29.778763 14.509161
