

gen best mean std
0 16.040973 -3.923778 4.500003
1 19.095406 -1.653764 6.854999
2 29.565035 1.404837 9.70958
3 29.565035 4.972746 10.535833
4 30.021358 7.017953 10.954773
5 30.021358 8.277372 10.791563
6 30.021358 10.253522 10.682187
7 30.021358 12.710045 8.906368
8 37.834796 12.558919 10.465294
9 37.834796 13.805984 10.544815
10 44.32116 15.903993 11.607854
11 44.32116 16.3302 12.232302
12 44.32116 17.637415 11.966596
13 44.32116 18.845626 11.295741
14 44.32116 19.110842 12.342767
15 44.32116 18.912667 12.452361
16 64.956374 21.236858 14.96734
17 64.956374 22.790508 14.637814
18 64.956374 23.428931 15.771405
19 64.956374 23.648682 14.983916
